"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"3827","487A TAMPINES AVE 9","20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623","0.514830609583805","1"
"3828","135 SIMEI ST 1","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.676044864561456","3"
"3829","136 SIMEI ST 1","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.622097557397286","3"
"3830","886 TAMPINES ST 83","2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683","0.939959512221967","1"
"3831","109 SIMEI ST 1","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.376373498773902","1"
"3832","110 SIMEI ST 1","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.35756143863953","1"
"3833","871 TAMPINES ST 84","15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544","1.15012437964593","0"
"3834","229 SIMEI ST 4","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.303622642119973","2"
"3835","19 JOO SENG RD","33 UPPER PAYA LEBAR ROAD TAI SENG MRT STATION (CC11) SINGAPORE 534803","0.824792070957199","3"
"3836","830 YISHUN ST 81","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.366491049947961","1"
"3837","861 YISHUN AVE 4","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.732747079394514","1"
"3838","427 YISHUN AVE 11","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.67176628071404","0"
"3839","408 YISHUN AVE 6","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.56488058851646","0"
"3840","873 YISHUN ST 81","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.53366553582259","1"
"3841","816 YISHUN ST 81","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.626265491746086","1"
"3842","836 YISHUN ST 81","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.215334200752817","1"
"3843","126 BEDOK RESERVOIR RD","30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION (DT28) SINGAPORE 415804","0.368848623291137","2"
"3844","111 LENGKONG TIGA","55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551","0.382818381530525","1"
"3845","141 BISHAN ST 12","17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842","0.831731625870876","3"
"3846","447 BRIGHT HILL DR","1 JALAN KELI UPPER THOMSON MRT STATION (TE8) SINGAPORE 577937","0.437005743381605","2"
"3847","507 BT BATOK ST 52","10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958","0.605940485707606","1"
"3848","416 SAUJANA RD","40 FAJAR ROAD FAJAR LRT STATION (BP10) SINGAPORE 679004","0.311113771680826","9"
"3849","277 BANGKIT RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.417345589253241","3"
"3850","203 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.586796572070744","2"
"3851","151 PETIR RD","31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269","0.0889020189647405","9"
"3852","17 TOH YI DR","101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216","0.39505942918548","1"
"3853","4 TOH YI DR","101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216","0.331137500227395","1"
"3854","3 TOH YI DR","101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216","0.279154625884891","2"
"3855","351 UBI AVE 1","51 UBI AVENUE 2 UBI MRT STATION (DT27) SINGAPORE 408899","0.526789008644692","2"
"3856","670 HOUGANG AVE 8","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.868342356733363","1"
"3857","501 JURONG WEST ST 51","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.714648827096684","1"
"3858","152 YUNG HO RD","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","1.90098702975749","0"
"3859","839 JURONG WEST ST 81","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.837451929238346","1"
"3860","412 PASIR RIS DR 6","20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623","1.91445929712495","0"
"3861","108 PASIR RIS ST 12","20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623","1.28418335727425","0"
"3862","471 PASIR RIS DR 6","20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623","2.0309631806168","0"
"3863","403 SERANGOON AVE 1","600 UPPER SERANGOON ROAD SERANGOON MRT STATION (NE12) SINGAPORE 534801","0.37857768067625","4"
"3864","876 TAMPINES ST 84","2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683","1.15582010515838","0"
"3865","899 TAMPINES ST 81","2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683","0.35066241128075","1"
"3866","221 SIMEI ST 4","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.390997102302128","4"
"3867","898A TAMPINES ST 81","2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683","0.420631698904905","1"
"3868","864 TAMPINES ST 83","15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544","0.809885276146984","1"
"3869","234 SIMEI ST 4","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.232397431594986","2"
"3870","407 YISHUN AVE 6","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.51700651020123","0"
"3871","354 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.20831873439453","0"
"3872","332 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","0.948533448583144","1"
"3873","851 YISHUN ST 81","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.470843313546834","1"
"3874","860 YISHUN AVE 4","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.766599494198652","1"
"3875","324 YISHUN CTRL","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","0.783220899114156","1"
"3876","355A YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.13955500917593","0"
"3877","356 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.25068017400668","0"
"3878","361 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.21973334234925","0"
"3879","210 NEW UPP CHANGI RD","315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347","0.222998814747684","1"
"3880","144 BEDOK RESERVOIR RD","30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION (DT28) SINGAPORE 415804","0.452798029296553","2"
"3881","109 LENGKONG TIGA","55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551","0.467168253759523","2"
"3882","156 BISHAN ST 13","17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842","1.06335303965425","0"
"3883","142 BISHAN ST 12","17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842","0.805130593532845","3"
"3884","444 SIN MING AVE","1 JALAN KELI UPPER THOMSON MRT STATION (TE8) SINGAPORE 577937","0.463629826795871","2"
"3885","162 BISHAN ST 13","17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842","0.864328721158927","2"
"3886","283 BT BATOK EAST AVE 3","10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958","0.917279720090016","1"
"3887","423 BT BATOK WEST AVE 2","10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958","1.54873904812905","0"
"3888","232 PENDING RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.131907623449072","4"
"3889","127 PENDING RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.223710566919314","7"
"3890","218 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.320406805452535","3"
"3891","137 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.232886389127722","6"
"3892","273 BANGKIT RD","20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939","0.406171189291461","4"
"3893","270 BANGKIT RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.330595430881939","4"
"3894","146 GANGSA RD","31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269","0.254968289413293","8"
"3895","14 TOH YI DR","101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216","0.43052951296714","1"
"3896","15 TOH YI DR","101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216","0.46777904042704","1"
"3897","692 HOUGANG ST 61","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.863117317832262","2"
"3898","233 HOUGANG ST 21","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","0.418539664621313","1"
"3899","928 JURONG WEST ST 92","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.829439753051663","2"
"3900","921 JURONG WEST ST 92","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.884812015590294","2"
"3901","978 JURONG WEST ST 93","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.488000834691329","1"
"3902","933 JURONG WEST ST 91","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.831978876330191","2"
