"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"6374","692 JURONG WEST CTRL 1","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","0.734604936817793","4"
"6375","109 WHAMPOA RD","30 TOWNER ROAD PRO-TEACH SCHOOLCARE (HONG WEN BRANCH) PTE LTD SINGAPORE 327829","0.641494747606001","1"
"6376","718 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.163234883921387","2"
"6377","756 WOODLANDS AVE 4","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.230887094456981","4"
"6378","762 WOODLANDS AVE 6","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.269471005567014","4"
"6379","661 WOODLANDS RING RD","11 WOODLANDS RING ROAD POWERLIFE STUDENT SERVICES SINGAPORE 738240","0.167762914796798","4"
"6380","663 WOODLANDS RING RD","11 WOODLANDS RING ROAD POWERLIFE STUDENT SERVICES SINGAPORE 738240","0.188446750342038","6"
"6381","424 WOODLANDS ST 41","23 WOODLANDS AVENUE 1 SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL) SINGAPORE 739063","0.52436424386411","2"
"6382","426 WOODLANDS ST 41","23 WOODLANDS AVENUE 1 SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL) SINGAPORE 739063","0.671173448273236","2"
"6383","293 BISHAN ST 22","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.207152064521915","2"
"6384","289 BISHAN ST 24","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.215835068673078","1"
"6385","288 BISHAN ST 24","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.248947480249031","1"
"6386","172 GANGSA RD","9 FAJAR ROAD YMCA STUDENT CARE CENTRE @ ZHENGHUA SINGAPORE 679002","0.274532801404497","5"
"6387","507 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.0776264609431649","5"
"6388","511 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.225934030161887","4"
"6389","503 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.242751505502568","5"
"6390","160 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.443884009973211","2"
"6391","484A CHOA CHU KANG AVE 5","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","0.37579008083927","2"
"6392","919 HOUGANG AVE 4","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","0.277181415660595","4"
"6393","921 HOUGANG ST 91","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","0.242147069218333","4"
"6394","916 HOUGANG AVE 9","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","0.370364857829376","4"
"6395","110 WHAMPOA RD","30 TOWNER ROAD PRO-TEACH SCHOOLCARE (HONG WEN BRANCH) PTE LTD SINGAPORE 327829","0.600027932029184","1"
"6396","719 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.150890124959183","2"
"6397","11 LOR 8 TOA PAYOH","16 LORONG 7 TOA PAYOH ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL) SINGAPORE 319320","0.392761388539763","3"
"6398","761 WOODLANDS AVE 6","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.373441872562015","3"
"6399","662 WOODLANDS RING RD","11 WOODLANDS RING ROAD POWERLIFE STUDENT SERVICES SINGAPORE 738240","0.109394765211895","5"
"6400","664 WOODLANDS RING RD","11 WOODLANDS RING ROAD POWERLIFE STUDENT SERVICES SINGAPORE 738240","0.155897221837768","6"
"6401","773 WOODLANDS DR 60","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","0.460470851028972","3"
"6402","760 WOODLANDS AVE 6","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.371535658472145","3"
"6403","290 BISHAN ST 24","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.157505607131407","1"
"6404","291 BISHAN ST 24","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.135865532415613","1"
"6405","292 BISHAN ST 22","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.168983349988026","1"
"6406","288G BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.408862271049404","2"
"6407","514 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.194460036992293","5"
"6408","522 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.18799207541486","5"
